M072,JMKS COMPANY,"AYEMYATHARYAR VILLAGE GROUP, OAKPHO TOWNSHIP, THAYARWADDI TOWNSHIP, BAGO DIVISION."
M073,KENT INDUSTRIES (M),"77B/ LOWER MINGALARDON RD., INSEIN."
M074,"KITTENISH KNITTING CO.,","NO. 304(B), NO.4 MAIN ROAD, WARD NO. 42, INDUSTRIAL ZONE, SHWE PYI THAR TSP, YANGON."
M075,"KOREA LINK INDUTRIAL CO.,","NO.(68), CONNER OF MINGYI MAHAR MINKAUNG STREET AND MIN THEIKDI KYAW SWAR ST, INDUSTRIAL ZONE (3), HLAING THARYAR TSP, YANGON."
M076,"KPH MANUFACTURING CO.,","NO.(7/8), INNWA STREET, SHWE PAUK KAN INDUSTRIAL ZONE, NORTH OKKALAPA TOWNSHIP YANGON."
M077,"KYAL SIN WINE MFG CO.,","NO.5/6, MYITKYINAR STREET, ZONE (1), (23) QUARTER, SOUTH DAGON TSP, YANGON."
M078,"KYARLAY APPAREL CO.,","164/ 167/ SAYA SAN ST, I.Z(2) HLAING THARYAR TOWNSHIP."
M079,"KYONE DOE GARMENT MFG CO.,",NO.99.YAW AH TWIN WON U PHO HLAING RD. DAGON SEIK KAN I.Z. DAGON SEIK KAN T/S.
M080,"LAT WAR CO.,","PLOT NO. 73(B)/ INDUSTRIAL ZONE(3),(OUT), NO.(70/71)A, MIN GYI MAHAR MIN KHAUNG STREET AND PHAN CHAT WUN U SHWE OH STREET CONER, INDUSTRIAL ZONE (3), HLAING THAR YAR TSP. YANGON."
M081,"LEAD FASHION INDUSTRY CO.,","NO.5/A, PUN HLAING GOLF COURSE STREET, IZ-1, HLAING THARYAR TSP."
M082,"LIA INTERNATIONAL CO.,","NO.41, BAMAW ATWINWUN STREET, INDUSTRIAL ZONE (3), HLAING THARYAR TSP, YANGON."
M083,"LIN DAGON GARMENT CO.,","NO.14/15, EAST DAGON, INDUSTRIAL ZONE (1), DAGON MYOTHIT (EAST), YANGON."
M084,LINN HTET INDUSTRY,NO.(6/A) KYOSETYONE ST. THUWANA.
M085,"LINN HTET INDUSTRY CO.,","912, LOWER MINGALARDON RD, PHAWKAN WARD, INSEIN."
M086,"LITA MYANMAR CO.,","PLOT NO. 51/52, SET SAYAR U TUN STREET, INDUSTRIAL ZONE (4), SHWE PYI THAR TOWNSHIP, YANGON."
M087,"LONG RUN MFG.,CO.,","AUNG SAN PRESS COMPOUND, LOWER MINGALARDON RD, INSEIN TOWNSHIP."
M088,"M.K CO.,","(MPG FACTORY) 16, PHAN CHET WUN U SHWE OH ST, I.Z (2), HLAING THARYAR."
M089,"MANUFACTURERS GFT ENTERPRISE CO.,","NO.26, KWIN NO 691(KATAWKAN KWIN), MINGALAR QUARTER, TAIK KYEE TSP, YANGON."
M090,"MAPLE TRADING CO.,","6A,B/ INGYIN ST, PALE MYO THIT,NYARN WARD, MINGALARDON TSP."
M091,"MEGA ONE GARMENT CO.,","32/YANGON INDUSTRIAL ZONE, N/OKKALARPA TOWNSHIP."
M092,MIDAS INDUSTRY CO.,"236/CORNER OF KANAUNG MINTHARGYI ST AND TWIN THIN WUN U TUN NYO ST, INDUSTRIAL ZONE(2), HLAING THARYAR TSP, YANGON."
M093,"MK CO.,","(MP GARMENT FACTORY) 16/ PHAN CHET WUN U SHWE OH ST, ZONE (2), HLAING THARYAR."
M094,"MOON CRAB CO.,","5/ KYANSITTHAR ST, I.Z (3), HLAING THARYAR TOWNSHIP."
M095,"MORNING SUN GARMENT  CO.,","109 / METKHAYAR MINTHARGYI MG PHYOST I.ZONE (2),HLAING THARYAR TSP."
M096,"MST UNDERWEAR CO.,","PLOT NO. (447+447 A), SEIKKANTHAR STREET, SHWE LIN BAN INDUSTRIAL ZONE, HLAINGTHARYAR TSP, YANGON."
M097,"MYANMAR APPAREL CO.,","35-36/ BAMAW AHTWIN WUN ST, I.Z(3), HLAING THARYAR."
M098,MYANMAR AYEYARWADDY MFG. CO.,"149-150, U TA YOTE GYI ST, INDUSTRIAL ZONE(4), HLAING THARYAR."
M099,"MYANMAR C & N CO.,","NO. (41,42), SHWE YIN AYE KYAUNG ROAD, INDUSTRIAL ZONE (5), HLAINGTHARYAR TSP, YANGON."
M100,"MYANMAR CENTURY LIAOYUAN KNITTED WEAR CO.,","PLOT NO. 56, MYAY TAING QUARTER NO.24, NGWEPINLAE INDUSTRIAL ZONE, HLAING THARYAR TOWNSHIP, YANGON."
M101,"MYANMAR CHILD @ NATURE CO.,","NO.41-42, SHWE YIN AYE KYAUNG ST, INDUSTRIAL ZONE (5), HLAINGTHARYAR TSP."
M102,MYANMAR DAEWOO INT'L,"YANGON-PYAY RD, PYINMABIN MINGALARDON."
M103,"MYANMAR GLOGON CO.,","NO.91, SOUTH DAGON SEIKKAN INDUSTRIAL ZONE PART 1, YANGON."
M104,"MYANMAR GLOWIN CO.,","NO.19, INDUSTRIAL ZONE (3), SHWE PYI THAR TOWNSHIP, YANGON."
M105,"MYANMAR HAE WAE CO.,","15, PUBLIC WORKS COMPOUND 14/1 QTR, SOUTH OKKALAPA."
M106,"MYANMAR HANDSOME GARMENTS CO.,","PLOT NO.167, PANTINWUN U SHWE BIN STREET, WARD 113, INDSUTRIAL ZONE (1), DAGON MYOTHIT (EAST) TSP, YANGON."
M107,"MYANMAR JIALE FASHION CO.,","PLOT NO. 13, WARD NO.14, SHWE THANLWIN INDUSTRIAL ZONE, HLAING THARYAR TOWNSHIP, YANGON."
M108,"MYANMAR LAST STAR CO.,","NO.30, KONG BOUNG ST, INDUSTRIAL ZONE (7), HLAING THARYAR TSP, YANGON."
M109,"MYANMAR MINDUN G MFG. CO.,","27, KHAMAR THI RD., I.Z, N/OKKALAPA"
M110,"MYANMAR PARFUN CO.,","NO.272/273, CORNER OF MIN GYI MAHAR MIN GAUNG AND U TAYOKE KYI STREET, SHWE LIN BAN INDUSTRIAL ZONE, HLAING THARYAR TSP, YANGON."
M111,"MYANMAR POSTARION CO.,","NO.D-8, MINGALARDON INDUSTRIAL PARK. MINGALARDON TSP. MATSUOKA.COM.MM"
